Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H3,2010,2010,2010,4,0,1,Import,8,Albania,ALB,0,World,WLD,,,,,,,,3915,"Waste, parings and scrap, of plastics.",8,Weight in kilograms,,,4306042,,4306042,,1837633,,,0
H3,2010,2010,2010,4,0,2,Export,8,Albania,ALB,0,World,WLD,,,,,,,,3915,"Waste, parings and scrap, of plastics.",8,Weight in kilograms,,,2386060,,2386060,,1426928,,,0
H3,2010,2010,2010,4,0,1,Import,12,Algeria,DZA,0,World,WLD,,,,,,,,3915,"Waste, parings and scrap, of plastics.",8,Weight in kilograms,,,1977164,,1977164,,1762885,,,0
H3,2010,2010,2010,4,0,2,Export,12,Algeria,DZA,0,World,WLD,,,,,,,,3915,"Waste, parings and scrap, of plastics.",8,Weight in kilograms,,,869647,,869647,,209434,,,0
H3,2010,2010,2010,4,0,1,Import,20,Andorra,AND,0,World,WLD,,,,,,,,3915,"Waste, parings and scrap, of plastics.",8,Weight in kilograms,,,106440,,106440,,9468,,,0
H3,2010,2010,2010,4,0,2,Export,20,Andorra,AND,0,World,WLD,,,,,,,,3915,"Waste, parings and scrap, of plastics.",8,Weight in kilograms,,,1949893,,1949893,,118056,,,0
H3,2010,2010,2010,4,0,1,Import,24,Angola,AGO,0,World,WLD,,,,,,,,3915,"Waste, parings and scrap, of plastics.",8,Weight in kilograms,,,168800,,168800,,196372,,,0
H3,2010,2010,2010,4,0,1,Import,31,Azerbaijan,AZE,0,World,WLD,,,,,,,,3915,"Waste, parings and scrap, of plastics.",8,Weight in kilograms,,,20380,,20380,,7126,,,0
H3,2010,2010,2010,4,0,2,Export,31,Azerbaijan,AZE,0,World,WLD,,,,,,,,3915,"Waste, parings and scrap, of plastics.",8,Weight in kilograms,,,257400,,257400,,17790,,,0
H3,2010,2010,2010,4,0,1,Import,32,Argentina,ARG,0,World,WLD,,,,,,,,3915,"Waste, parings and scrap, of plastics.",8,Weight in kilograms,,,803162,,803162,,995581,,,0
H3,2010,2010,2010,4,0,2,Export,32,Argentina,ARG,0,World,WLD,,,,,,,,3915,"Waste, parings and scrap, of plastics.",8,Weight in kilograms,,,37549837,,37549837,,26118234,,,0
H3,2010,2010,2010,4,0,1,Import,36,Australia,AUS,0,World,WLD,,,,,,,,3915,"Waste, parings and scrap, of plastics.",8,Weight in kilograms,,,4982852,,4982852,,3098558,,,0
H3,2010,2010,2010,4,0,2,Export,36,Australia,AUS,0,World,WLD,,,,,,,,3915,"Waste, parings and scrap, of plastics.",8,Weight in kilograms,,,156388292,,156388292,,60150487,,,0
H3,2010,2010,2010,4,0,1,Import,40,Austria,AUT,0,World,WLD,,,,,,,,3915,"Waste, parings and scrap, of plastics.",8,Weight in kilograms,,,146137298,,146137298,,42610439,,,6
H3,2010,2010,2010,4,0,2,Export,40,Austria,AUT,0,World,WLD,,,,,,,,3915,"Waste, parings and scrap, of plastics.",8,Weight in kilograms,,,100261509,,100261509,,40421295,,,6
H3,2010,2010,2010,4,0,1,Import,44,Bahamas,BHS,0,World,WLD,,,,,,,,3915,"Waste, parings and scrap, of plastics.",8,Weight in kilograms,,,3122439,,3122439,,21563542,,,0
H3,2010,2010,2010,4,0,1,Import,48,Bahrain,BHR,0,World,WLD,,,,,,,,3915,"Waste, parings and scrap, of plastics.",8,Weight in kilograms,,,461785,,461785,,390973,,,0
H3,2010,2010,2010,4,0,2,Export,48,Bahrain,BHR,0,World,WLD,,,,,,,,3915,"Waste, parings and scrap, of plastics.",8,Weight in kilograms,,,1741777,,1741777,,429141,,,0
H3,2010,2010,2010,4,0,3,Re-Export,48,Bahrain,BHR,0,World,WLD,,,,,,,,3915,"Waste, parings and scrap, of plastics.",8,Weight in kilograms,,,22847,,22847,,16769,,,0
H3,2010,2010,2010,4,0,1,Import,50,Bangladesh,BGD,0,World,WLD,,,,,,,,3915,"Waste, parings and scrap, of plastics.",8,Weight in kilograms,,,5563834,,5563834,,2202902,,,0
H3,2010,2010,2010,4,0,2,Export,50,Bangladesh,BGD,0,World,WLD,,,,,,,,3915,"Waste, parings and scrap, of plastics.",8,Weight in kilograms,,,32399286,,32399286,,22973407,,,0
H3,2010,2010,2010,4,0,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,3915,"Waste, parings and scrap, of plastics.",8,Weight in kilograms,,,3190,,3190,,5423,,,0
H3,2010,2010,2010,4,0,2,Export,51,Armenia,ARM,0,World,WLD,,,,,,,,3915,"Waste, parings and scrap, of plastics.",8,Weight in kilograms,,,467437,,467437,,359734,,,0
H3,2010,2010,2010,4,0,1,Import,56,Belgium,BEL,0,World,WLD,,,,,,,,3915,"Waste, parings and scrap, of plastics.",8,Weight in kilograms,,,285425894,,285425894,,130035516,,,0
H3,2010,2010,2010,4,0,2,Export,56,Belgium,BEL,0,World,WLD,,,,,,,,3915,"Waste, parings and scrap, of plastics.",8,Weight in kilograms,,,396963159,,396963159,,171066610,,,0
H3,2010,2010,2010,4,0,1,Import,60,Bermuda,BMU,0,World,WLD,,,,,,,,3915,"Waste, parings and scrap, of plastics.",8,Weight in kilograms,,,17537,,17537,,10162,,,6
H3,2010,2010,2010,4,0,1,Import,64,Bhutan,BTN,0,World,WLD,,,,,,,,3915,"Waste, parings and scrap, of plastics.",8,Weight in kilograms,,,179,,179,,769,,,0
H3,2010,2010,2010,4,0,2,Export,64,Bhutan,BTN,0,World,WLD,,,,,,,,3915,"Waste, parings and scrap, of plastics.",8,Weight in kilograms,,,732451,,732451,,132969,,,0
H3,2010,2010,2010,4,0,1,Import,68,Bolivia (Plurinational State of),BOL,0,World,WLD,,,,,,,,3915,"Waste, parings and scrap, of plastics.",8,Weight in kilograms,,,221121,,219480,,100507,,,0
